bath,bed,latitude,logitude,price,size,year built,zipcode,distance to subway,complaints
4,13,40.810501,-73.941497,2000000,4800,1910,10037,0.38164502100000003,2622.0
4,11,40.810001,-73.941497,1395000,3654,1910,10037,0.393116888,2622.0
7,7,40.810646999999996,-73.94189200000001,3700000,5700,1910,10037,0.37214347799999997,2622.0
5,5,40.811714,-73.941722,2599999,3744,1880,10037,0.253950206,2622.0
1,0,40.815446,-73.93768100000001,345000,284,1940,10037,0.28400228,2622.0
2,2,40.816101,-73.938301,925000,1005,2018,10037,0.288561702,2622.0
2,3,40.816101,-73.938301,1450000,1114,2018,10037,0.288561702,2622.0
2,2,40.816101,-73.938301,975000,1005,2018,10037,0.288561702,2622.0
2,2,40.816101,-73.938301,1075000,1025,2018,10037,0.288561702,2622.0
1,1,40.816101,-73.938301,649000,681,2018,10037,0.288561702,2622.0
1,1,40.816101,-73.938301,675000,669,2018,10037,0.288561702,2622.0
1,1,40.826485,-73.94015999999999,450000,594,1921,10039,0.29403487300000003,2555.0
3,3,40.824001,-73.939498,1995000,2700,1903,10039,0.21192418100000002,2555.0
2,3,40.8227,-73.942298,890000,1170,2003,10039,0.230992389,2555.0
2,3,40.823392999999996,-73.942262,960000,1085,2005,10039,0.193965362,2555.0
1,1,40.826485,-73.94015999999999,500000,587,1921,10039,0.29403487300000003,2555.0
2,2,40.823392999999996,-73.942262,848000,942,2005,10039,0.193965362,2555.0
1,1,40.824001,-73.939498,725000,796,1903,10039,0.21192418100000002,2555.0
1,1,40.823856,-73.93871800000001,605000,750,2012,10039,0.148064039,2555.0
2,2,40.823392999999996,-73.942262,919000,1053,2005,10039,0.193965362,2555.0
9,7,40.751098,-74.002998,58500000,11121,2016,10001,0.44610722799999997,5441.0
3,3,40.751998,-74.003303,18500000,6400,1904,10001,0.36363526700000004,5441.0
6,5,40.7518,-74.002799,22500000,4510,2017,10001,0.366858756,5441.0
1,1,40.746187,-73.98666800000001,1195000,950,1895,10001,0.188856882,5441.0
6,5,40.751098,-74.002998,39500000,6853,2016,10001,0.44610722799999997,5441.0
2,2,40.749254,-73.994884,1750000,1103,1927,10001,0.237201469,5441.0
4,3,40.7523,-74.00389799999999,7500000,2945,2016,10001,0.36178103899999997,5441.0
12,0,40.744899,-73.992202,21000000,26027,1907,10001,0.211654397,5441.0
5,9,40.748451,-74.00258199999999,5790000,3900,1900,10001,0.452146125,5441.0
4,3,40.7518,-74.002799,15100000,2708,2017,10001,0.366858756,5441.0
4,4,40.748298,-74.000396,6500000,3128,1914,10001,0.285450033,5441.0
1,0,40.753662,-73.997671,450000,450,1963,10001,0.311282717,5441.0
4,3,40.75509,-74.00518199999999,13975000,2656,2019,10001,0.325704955,5441.0
2,5,40.746299,-73.997299,8250000,4068,1900,10001,0.01486726,5441.0
2,3,40.749254,-73.994884,2795000,2100,1927,10001,0.237201469,5441.0
2,4,40.745657,-73.992866,3000000,2753,1910,10001,0.11926636199999999,5441.0
4,3,40.7518,-74.002799,6950000,2278,2017,10001,0.366858756,5441.0
3,3,40.749,-74.003501,5595000,2152,2018,10001,0.549090159,5441.0
5,5,40.7518,-74.002799,9750000,3586,2017,10001,0.366858756,5441.0
3,3,40.748339,-74.000384,3900000,2124,1914,10001,0.287461173,5441.0
5,4,40.75509,-74.00518199999999,17775000,3848,2019,10001,0.325704955,5441.0
1,1,40.747352,-73.996133,1388000,1100,1918,10001,0.128693256,5441.0
5,3,40.746497999999995,-73.996002,4850000,4200,1925,10001,0.096050168,5441.0
2,2,40.7485,-73.995796,1435000,1150,2006,10001,0.228611961,5441.0
1,1,40.745946999999994,-73.996663,739000,650,1925,10001,0.07197569999999999,5441.0
3,2,40.75509,-74.00518199999999,5125000,1492,2019,10001,0.325704955,5441.0
3,3,40.744184000000004,-73.99221899999999,4550000,2500,1913,10001,0.13952573699999998,5441.0
