Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode
Central Harlem,1.0,2.0,40.805553,-73.945763,624999.0,800,1900,10027.0
Central Harlem,2.0,2.0,40.80912100000001,-73.951471,1450000.0,1242,2010,10027.0
Central Harlem,0.0,0.0,40.809046,-73.941953,950000.0,,No,10027.0
Central Harlem,2.0,2.0,40.806999,-73.947402,1375000.0,1234,2008,10027.0
Central Harlem,1.0,2.0,40.813417,-73.959181,630000.0,9180,1956,10027.0
Central Harlem,2.0,2.0,40.810398,-73.943099,1100000.0,1306,2005,10027.0
Central Harlem,1.0,1.0,40.813024,-73.961134,545000.0,,1905,10027.0
Central Harlem,1.0,0.0,40.813417,-73.959181,365000.0,500,,10027.0
Central Harlem,6.0,7.0,40.808144,-73.943688,2095000.0,2889,1909,10027.0
Central Harlem,5.0,8.0,40.808774,-73.942495,2999000.0,5200,2000,10027.0
Central Harlem,5.0,4.0,40.805204,-73.949872,3875000.0,4103,1910,10027.0
Central Harlem,1.0,2.0,40.812615,-73.957213,685000.0,904,1956,10027.0
Central Harlem,1.0,2.0,40.813417,-73.959181,880000.0,950,,10027.0
Central Harlem,2.0,3.0,40.81205900000001,-73.959326,1195000.0,1100,,10027.0
Central Harlem,4.0,4.0,40.808422,-73.94165699999998,2600000.0,2360,1909,10027.0
Central Harlem,2.0,2.0,40.813201,-73.952903,1218000.0,1065,2018,10027.0
Central Harlem,1.0,2.0,40.813093,-73.958387,695000.0,9180,1956,10027.0
Central Harlem,4.0,3.0,40.809299,-73.945396,2500000.0,2577,2018,10027.0
Central Harlem,3.0,3.0,40.810398,-73.943099,2275000.0,2116,2005,10027.0
Central Harlem,1.0,2.0,40.813417,-73.959181,700000.0,950,1956,10027.0
Central Harlem,1.0,1.0,40.81251500000001,-73.958696,549000.0,700,1956,10027.0
Central Harlem,3.0,3.0,40.811599,-73.959701,3160000.0,1839,2019,10027.0
Central Harlem,2.0,2.0,40.810398,-73.943099,1085000.0,1292,2005,10027.0
Central Harlem,3.0,3.0,40.811599,-73.959701,2670000.0,1764,2019,10027.0
Central Harlem,1.0,0.0,40.8129,-73.9449,619000.0,503,2015,10027.0
Central Harlem,1.0,1.0,40.813201,-73.952903,835000.0,743,2018,10027.0
Central Harlem,3.0,3.0,40.811599,-73.959701,2950000.0,1764,2019,10027.0
Central Harlem,1.0,2.0,40.808911,-73.96523,1400000.0,148982,1910,10027.0
Central Harlem,4.0,4.0,40.811599,-73.959701,3800000.0,2120,2019,10027.0
Central Harlem,1.0,2.0,40.813417,-73.959181,735000.0,9180,1956,10027.0
Central Harlem,3.0,2.0,40.811599,-73.959701,2100000.0,1452,2019,10027.0
Central Harlem,2.0,2.0,40.807598,-73.950401,1275000.0,1146,2018,10027.0
Central Harlem,1.0,2.0,40.81251500000001,-73.958696,740000.0,904,1956,10027.0
Central Harlem,3.0,3.0,40.808267,-73.951287,2095000.0,2114,1910,10027.0
Central Harlem,1.0,1.0,40.81251500000001,-73.958696,538000.0,700,1956,10027.0
Central Harlem,1.0,2.0,40.81205900000001,-73.959326,925000.0,950,1957,10027.0
Central Harlem,1.0,2.0,40.812615,-73.957213,849000.0,950,1956,10027.0
Central Harlem,1.0,2.0,40.813093,-73.958387,675000.0,9180,1956,10027.0
Central Harlem,1.0,1.0,40.81205900000001,-73.959326,750000.0,700,1957,10027.0
Central Harlem,1.0,0.0,40.80985,-73.943102,573000.0,479,2014,10027.0
Central Harlem,2.0,2.0,40.811599,-73.959701,1750000.0,1189,2019,10027.0
Central Harlem,1.0,1.0,40.808399,-73.952201,845000.0,755,2010,10027.0
Central Harlem,2.0,2.0,40.811599,-73.959701,2225000.0,1289,2019,10027.0
Central Harlem,2.0,1.0,40.809101,-73.955299,995000.0,945,2011,10027.0
Central Harlem,1.0,1.0,40.81251500000001,-73.958696,547500.0,700,1956,10027.0
Central Harlem,2.0,2.0,40.811599,-73.959701,1850000.0,1243,2019,10027.0
Central Harlem,1.0,2.0,40.81251500000001,-73.958696,849000.0,950,1956,10027.0
Central Harlem,2.0,2.0,40.807598,-73.950401,1395000.0,1146,2018,10027.0
Central Harlem,1.0,1.0,40.81251500000001,-73.958696,605000.0,950,1956,10027.0
Central Harlem,1.0,1.0,40.809101,-73.955299,720000.0,,2011,10027.0
Central Harlem,1.0,0.0,40.811599,-73.959701,970000.0,542,2019,10027.0
Central Harlem,1.0,1.0,40.811599,-73.959701,1265000.0,733,2019,10027.0
Central Harlem,1.0,1.0,40.813417,-73.959181,580000.0,,,10027.0
Central Harlem,1.0,1.0,40.811599,-73.959701,1275000.0,831,2019,10027.0
Central Harlem,1.0,1.0,40.811599,-73.959701,1320000.0,801,2019,10027.0
Central Harlem,1.0,1.0,40.809101,-73.951599,870000.0,,2010,10027.0
Central Harlem,1.0,1.0,40.806999,-73.947402,889000.0,842,2008,10027.0
Central Harlem,1.0,1.0,40.811599,-73.959701,1150000.0,770,2019,10027.0
Central Harlem,2.0,3.0,40.821498,-73.9402,299000.0,1100,1921,10030.0
Central Harlem,1.0,1.0,40.8138,-73.943901,229000.0,,1926,10030.0
Central Harlem,1.0,1.0,40.823087,-73.944858,275000.0,700,1920,10030.0
Central Harlem,1.0,3.0,40.820701,-73.940299,300000.0,900,1950,10030.0
Central Harlem,1.0,4.0,40.817901,-73.938598,399000.0,990,1920,10030.0
Central Harlem,3.0,6.0,40.818575,-73.946095,2500000.0,3534,1901,10030.0
Central Harlem,5.0,4.0,40.822475,-73.944182,2250000.0,2700,1899,10030.0
Central Harlem,1.0,4.0,40.821712,-73.940777,350000.0,,1940,10030.0
Central Harlem,1.0,4.0,40.820701,-73.940299,325000.0,900,1950,10030.0
Central Harlem,4.0,5.0,40.817767,-73.942995,2550000.0,4400,1910,10030.0
Central Harlem,3.0,4.0,40.819887,-73.94534300000002,3195000.0,3000,1899,10030.0
Central Harlem,1.0,2.0,40.819308,-73.93891500000002,419000.0,17470,1920,10030.0
Central Harlem,5.0,4.0,40.822799,-73.94368100000001,1950000.0,2984,1901,10030.0
Central Harlem,1.0,1.0,40.822399,-73.945198,305000.0,,1910,10030.0
Central Harlem,2.0,3.0,40.818199,-73.945701,1370000.0,1550,1994,10030.0
