,Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,distance to subway,number of subway lines
60,Central Harlem,3.0,3.0,40.803298,-73.957199,1569000.0,1477.0,,10026,116th St,B,C,,,,,,,,,,0.17281596176587152,2
61,Central Harlem,2.0,3.0,40.801226,-73.959221,2495000.0,1265.0,2012,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.07949862635990347,2
62,Central Harlem,1.0,0.0,40.801077,-73.94779399999999,470000.0,500.0,2006,10026,116th St,2,3,,,,,,,,,,0.17690281578827088,2
63,Central Harlem,2.0,2.0,40.8031,-73.9496,1199000.0,1257.0,1899,10026,116th St,2,3,,,,,,,,,,0.09750531568056343,2
64,Central Harlem,1.0,0.0,40.7985,-73.951698,630000.0,450.0,2019,10026,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825,2
65,Central Harlem,3.0,3.0,40.8008,-73.95850300000002,2825000.0,1596.0,2017,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026,2
66,Central Harlem,1.0,2.0,40.799803,-73.95295300000002,720000.0,548.0,1915,10026,110th St-Central Park North,2,3,,,,,,,,,,0.11404548855237852,2
67,Central Harlem,1.0,1.0,40.801191,-73.95850300000002,695000.0,595.0,1988,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.03706784577440874,2
68,Central Harlem,2.0,2.0,40.804166,-73.95033000000002,1125000.0,1105.0,1920,10026,116th St,2,3,,,,,,,,,,0.2211494310965471,2
69,Central Harlem,2.0,2.0,40.801031,-73.948337,1225000.0,1147.0,2006,10026,116th St,2,3,,,,,,,,,,0.14131163231089774,2
70,Central Harlem,3.0,3.0,40.798801,-73.952903,2995000.0,1936.0,2006,10026,110th St-Central Park North,2,3,,,,,,,,,,0.03899682536503932,2
71,Central Harlem,3.0,4.0,40.8008,-73.95850300000002,4335750.0,1797.0,2017,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026,2
72,Central Harlem,2.5,3.0,40.8008,-73.95850300000002,2815000.0,1608.0,2017,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026,2
73,Central Harlem,1.0,1.0,40.800542,-73.95921,699000.0,589.0,1989,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.06608848674369561,2
74,Central Harlem,3.0,3.0,40.8008,-73.95850300000002,4636500.0,1814.0,2017,10026,Cathedral Parkway-110th St,B,C,,,,,,,,,,0.011041019359691026,2
75,Central Harlem,1.0,1.0,40.801998,-73.9505,769000.0,,2006,10026,116th St,2,3,,,,,,,,,,0.047252479452995814,2
76,Central Harlem,2.0,2.0,40.798,-73.94899699999998,1125000.0,1109.0,1989,10026,110th St-Central Park North,2,3,,,,,,,,,,0.2821058922071225,2
77,Central Harlem,1.0,1.0,40.800461,-73.952853,899000.0,910.0,2003,10026,110th St-Central Park North,2,3,,,,,,,,,,0.17231135966333955,2
78,Central Harlem,2.0,2.0,40.801099,-73.947102,1275000.0,1046.0,2014,10026,116th St,2,3,,,,,,,,,,0.22647609253538256,2
79,Central Harlem,1.0,1.0,40.798,-73.94899699999998,695000.0,696.0,1989,10026,110th St-Central Park North,2,3,,,,,,,,,,0.2821058922071225,2
80,Central Harlem,1.0,1.0,40.7985,-73.951698,815000.0,664.0,2019,10026,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825,2
81,Central Harlem,1.0,1.0,40.801077,-73.94779399999999,700000.0,742.0,2006,10026,116th St,2,3,,,,,,,,,,0.17690281578827088,2
82,Central Harlem,1.0,1.0,40.803298,-73.957199,729000.0,709.0,,10026,116th St,B,C,,,,,,,,,,0.17281596176587152,2
83,Central Harlem,1.0,1.0,40.798,-73.94899699999998,750000.0,675.0,1989,10026,110th St-Central Park North,2,3,,,,,,,,,,0.2821058922071225,2
84,Central Harlem,1.0,2.0,40.808923,-73.95361199999998,325000.0,46752.0,1912,10027,125th St,A,B,C,D,,,,,,,,0.19817017017182206,4
85,Central Harlem,3.0,8.0,40.805801,-73.949302,2200000.0,4500.0,1920,10027,125th St,2,3,,,,,,,,,,0.36465644821563387,2
86,Central Harlem,3.0,6.0,40.80516,-73.94976899999997,3995000.0,4300.0,1920,10027,116th St,2,3,,,,,,,,,,0.32592564385955297,2
87,Central Harlem,1.0,3.0,40.8083,-73.956001,599950.0,,1987,10027,125th St,A,B,C,D,,,,,,,,0.3690542775319349,4
88,Central Harlem,4.0,4.0,40.806326,-73.947459,2424000.0,3952.0,1899,10027,125th St,2,3,,,,,,,,,,0.20818793888935405,2
89,Central Harlem,4.0,7.0,40.805642,-73.948964,2800000.0,5800.0,1920,10027,125th St,2,3,,,,,,,,,,0.3528292566590752,2
90,Central Harlem,4.0,6.0,40.805167,-73.945886,4200000.0,6000.0,1899,10027,125th St,2,3,,,,,,,,,,0.267138147934485,2
91,Central Harlem,1.0,2.0,40.8184,-73.9546,476000.0,650.0,1905,10027,137th St-City College,1,,,,,,,,,,,0.32820056063919706,1
92,Central Harlem,6.0,5.0,40.80937700000001,-73.95469,2750000.0,3840.0,1899,10027,125th St,A,B,C,D,,,,,,,,0.20651847246739866,4
93,Central Harlem,1.0,2.0,40.81103,-73.958377,579000.0,,1901,10027,125th St,1,,,,,,,,,,,0.4573744965362815,1
94,Central Harlem,0.0,5.0,40.812198,-73.944099,949000.0,,No,10027,135th St,2,3,,,,,,,,,,0.32280892153182245,2
95,Central Harlem,1.0,2.0,40.810039,-73.95853100000002,650000.0,725.0,1920,10027,116th St-Columbia University,1,,,,,,,,,,,0.4629640789455563,1
96,Central Harlem,1.0,3.0,40.81342100000001,-73.960461,880000.0,,1940,10027,125th St,1,,,,,,,,,,,0.2508228742258861,1
97,Central Harlem,2.0,2.0,40.808911,-73.96523,1450000.0,,1910,10027,116th St-Columbia University,1,,,,,,,,,,,0.12967716536221774,1
98,Central Harlem,5.0,5.0,40.805049,-73.946377,4675000.0,4540.0,1909,10027,125th St,2,3,,,,,,,,,,0.28832796745247924,2
99,Central Harlem,1.0,1.0,40.816331,-73.960074,445000.0,600.0,1910,10027,125th St,1,,,,,,,,,,,0.1465397875451415,1
100,Central Harlem,2.0,2.0,40.808267,-73.951287,950000.0,1023.0,1910,10027,125th St,A,B,C,D,,,,,,,,0.2738489317312521,4
101,Central Harlem,2.0,3.0,40.815101,-73.953498,1360000.0,1248.0,2018,10027,125th St,A,B,C,D,,,,,,,,0.37607176281786425,4
102,Central Harlem,5.0,17.0,40.804698,-73.945899,3300000.0,5500.0,1909,10027,125th St,2,3,,,,,,,,,,0.31902312410582584,2
103,Central Harlem,11.0,6.0,40.80692,-73.951992,4375000.0,4590.0,1910,10027,116th St,B,C,,,,,,,,,,0.3767054982966799,2
104,Central Harlem,3.0,4.0,40.807448,-73.950118,3250000.0,2340.0,2005,10027,125th St,2,3,,,,,,,,,,0.3683740644022106,2
105,Central Harlem,6.0,6.0,40.809299,-73.946502,3295000.0,5100.0,1910,10027,125th St,2,3,,,,,,,,,,0.1667322684055868,2
106,Central Harlem,1.0,2.0,40.813881,-73.96066,699999.0,,1926,10027,125th St,1,,,,,,,,,,,0.22127750281580572,1
107,Central Harlem,1.5,2.0,40.807201,-73.953598,769000.0,861.0,2003,10027,116th St,B,C,,,,,,,,,,0.3292401619648068,2
108,Central Harlem,4.0,5.0,40.811381,-73.945577,3495000.0,3280.0,2000,10027,125th St,2,3,,,,,,,,,,0.3765324435044015,2
109,Central Harlem,4.0,6.0,40.805091,-73.94960400000002,2950000.0,4500.0,1899,10027,116th St,2,3,,,,,,,,,,0.3184279337833393,2
110,Central Harlem,2.0,2.0,40.804298,-73.946536,1400000.0,1200.0,1909,10027,116th St,2,3,,,,,,,,,,0.3446165017997128,2
111,Central Harlem,2.0,2.0,40.8069,-73.954696,999000.0,925.0,2006,10027,116th St,B,C,,,,,,,,,,0.2616941442304278,2
112,Central Harlem,5.0,8.0,40.806452,-73.948945,3500000.0,5507.0,1910,10027,125th St,2,3,,,,,,,,,,0.3014899873677362,2
113,Central Harlem,1.0,1.0,40.81103,-73.958377,395000.0,,1901,10027,125th St,1,,,,,,,,,,,0.4573744965362815,1
114,Central Harlem,5.0,4.0,40.813701,-73.946502,2199000.0,3183.0,1910,10027,135th St,B,C,,,,,,,,,,0.3717046814422349,2
115,Central Harlem,2.0,2.0,40.813899,-73.946601,1795000.0,,1910,10027,135th St,B,C,,,,,,,,,,0.34820848429447976,2
116,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,489000.0,700.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
117,Central Harlem,2.0,3.0,40.807423,-73.953588,1198000.0,1116.0,2003,10027,116th St,B,C,,,,,,,,,,0.3512145335562174,2
118,Central Harlem,4.0,4.0,40.814074,-73.947323,2350000.0,3340.0,1910,10027,135th St,B,C,,,,,,,,,,0.3150602466253179,2
119,Central Harlem,1.0,2.0,40.805553,-73.945763,624999.0,800.0,1900,10027,125th St,2,3,,,,,,,,,,0.22326624825668706,2
120,Central Harlem,2.0,2.0,40.80912100000001,-73.951471,1450000.0,1242.0,2010,10027,125th St,A,B,C,D,,,,,,,,0.18211564378845932,4
121,Central Harlem,0.0,0.0,40.809046,-73.941953,950000.0,,No,10027,125th St,2,3,,,,,,,,,,0.30491862160779903,2
122,Central Harlem,2.0,2.0,40.806999,-73.947402,1375000.0,1234.0,2008,10027,125th St,2,3,,,,,,,,,,0.1582286414071752,2
123,Central Harlem,1.0,2.0,40.813417,-73.959181,630000.0,9180.0,1956,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
124,Central Harlem,2.0,2.0,40.810398,-73.943099,1100000.0,1306.0,2005,10027,125th St,2,3,,,,,,,,,,0.3329289251320413,2
125,Central Harlem,1.0,1.0,40.813024,-73.961134,545000.0,,1905,10027,125th St,1,,,,,,,,,,,0.3196404554510628,1
126,Central Harlem,1.0,0.0,40.813417,-73.959181,365000.0,500.0,,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
127,Central Harlem,6.0,7.0,40.808144,-73.943688,2095000.0,2889.0,1909,10027,125th St,2,3,,,,,,,,,,0.13310099551244187,2
128,Central Harlem,5.0,8.0,40.808774,-73.942495,2999000.0,5200.0,2000,10027,125th St,2,3,,,,,,,,,,0.25087882336493456,2
129,Central Harlem,5.0,4.0,40.805204,-73.949872,3875000.0,4103.0,1910,10027,116th St,2,3,,,,,,,,,,0.3310087657409625,2
130,Central Harlem,1.0,2.0,40.812615,-73.957213,685000.0,904.0,1956,10027,125th St,1,,,,,,,,,,,0.29943760938520864,1
131,Central Harlem,1.0,2.0,40.813417,-73.959181,880000.0,950.0,,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
132,Central Harlem,2.0,3.0,40.81205900000001,-73.959326,1195000.0,1100.0,,10027,125th St,1,,,,,,,,,,,0.35095561336789144,1
133,Central Harlem,4.0,4.0,40.808422,-73.94165699999998,2600000.0,2360.0,1909,10027,125th St,2,3,,,,,,,,,,0.3067238225042843,2
134,Central Harlem,2.0,2.0,40.813201,-73.952903,1218000.0,1065.0,2018,10027,125th St,A,B,C,D,,,,,,,,0.16622274433836484,4
135,Central Harlem,1.0,2.0,40.813093,-73.958387,695000.0,9180.0,1956,10027,125th St,1,,,,,,,,,,,0.2279916015359995,1
136,Central Harlem,4.0,3.0,40.809299,-73.945396,2500000.0,2577.0,2018,10027,125th St,2,3,,,,,,,,,,0.14539782729335562,2
137,Central Harlem,3.0,3.0,40.810398,-73.943099,2275000.0,2116.0,2005,10027,125th St,2,3,,,,,,,,,,0.3329289251320413,2
138,Central Harlem,1.0,2.0,40.813417,-73.959181,700000.0,950.0,1956,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
139,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,549000.0,700.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
140,Central Harlem,3.0,3.0,40.811599,-73.959701,3160000.0,1839.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
141,Central Harlem,2.0,2.0,40.810398,-73.943099,1085000.0,1292.0,2005,10027,125th St,2,3,,,,,,,,,,0.3329289251320413,2
142,Central Harlem,3.0,3.0,40.811599,-73.959701,2670000.0,1764.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
143,Central Harlem,1.0,0.0,40.8129,-73.9449,619000.0,503.0,2015,10027,135th St,2,3,,,,,,,,,,0.3420197170152688,2
144,Central Harlem,1.0,1.0,40.813201,-73.952903,835000.0,743.0,2018,10027,125th St,A,B,C,D,,,,,,,,0.16622274433836484,4
145,Central Harlem,3.0,3.0,40.811599,-73.959701,2950000.0,1764.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
146,Central Harlem,1.0,2.0,40.808911,-73.96523,1400000.0,148982.0,1910,10027,116th St-Columbia University,1,,,,,,,,,,,0.12967716536221774,1
147,Central Harlem,4.0,4.0,40.811599,-73.959701,3800000.0,2120.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
148,Central Harlem,1.0,2.0,40.813417,-73.959181,735000.0,9180.0,1956,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
149,Central Harlem,3.0,2.0,40.811599,-73.959701,2100000.0,1452.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
150,Central Harlem,2.0,2.0,40.807598,-73.950401,1275000.0,1146.0,2018,10027,125th St,A,B,C,D,,,,,,,,0.3737995831176089,4
151,Central Harlem,1.0,2.0,40.81251500000001,-73.958696,740000.0,904.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
152,Central Harlem,3.0,3.0,40.808267,-73.951287,2095000.0,2114.0,1910,10027,125th St,A,B,C,D,,,,,,,,0.2738489317312521,4
153,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,538000.0,700.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
154,Central Harlem,1.0,2.0,40.81205900000001,-73.959326,925000.0,950.0,1957,10027,125th St,1,,,,,,,,,,,0.35095561336789144,1
155,Central Harlem,1.0,2.0,40.812615,-73.957213,849000.0,950.0,1956,10027,125th St,1,,,,,,,,,,,0.29943760938520864,1
156,Central Harlem,1.0,2.0,40.813093,-73.958387,675000.0,9180.0,1956,10027,125th St,1,,,,,,,,,,,0.2279916015359995,1
157,Central Harlem,1.0,1.0,40.81205900000001,-73.959326,750000.0,700.0,1957,10027,125th St,1,,,,,,,,,,,0.35095561336789144,1
158,Central Harlem,1.0,0.0,40.80985,-73.943102,573000.0,479.0,2014,10027,125th St,2,3,,,,,,,,,,0.2833277809436486,2
159,Central Harlem,2.0,2.0,40.811599,-73.959701,1750000.0,1189.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
160,Central Harlem,1.0,1.0,40.808399,-73.952201,845000.0,755.0,2010,10027,125th St,A,B,C,D,,,,,,,,0.2386867328595911,4
161,Central Harlem,2.0,2.0,40.811599,-73.959701,2225000.0,1289.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
162,Central Harlem,2.0,1.0,40.809101,-73.955299,995000.0,945.0,2011,10027,125th St,A,B,C,D,,,,,,,,0.2652833792053966,4
163,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,547500.0,700.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
164,Central Harlem,2.0,2.0,40.811599,-73.959701,1850000.0,1243.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
165,Central Harlem,1.0,2.0,40.81251500000001,-73.958696,849000.0,950.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
166,Central Harlem,2.0,2.0,40.807598,-73.950401,1395000.0,1146.0,2018,10027,125th St,A,B,C,D,,,,,,,,0.3737995831176089,4
167,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,605000.0,950.0,1956,10027,125th St,1,,,,,,,,,,,0.29301956277598185,1
168,Central Harlem,1.0,1.0,40.809101,-73.955299,720000.0,,2011,10027,125th St,A,B,C,D,,,,,,,,0.2652833792053966,4
169,Central Harlem,1.0,0.0,40.811599,-73.959701,970000.0,542.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
170,Central Harlem,1.0,1.0,40.811599,-73.959701,1265000.0,733.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
171,Central Harlem,1.0,1.0,40.813417,-73.959181,580000.0,,,10027,125th St,1,,,,,,,,,,,0.20182526362260175,1
172,Central Harlem,1.0,1.0,40.811599,-73.959701,1275000.0,831.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
173,Central Harlem,1.0,1.0,40.811599,-73.959701,1320000.0,801.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
174,Central Harlem,1.0,1.0,40.809101,-73.951599,870000.0,,2010,10027,125th St,A,B,C,D,,,,,,,,0.17878926476367032,4
175,Central Harlem,1.0,1.0,40.806999,-73.947402,889000.0,842.0,2008,10027,125th St,2,3,,,,,,,,,,0.1582286414071752,2
176,Central Harlem,1.0,1.0,40.811599,-73.959701,1150000.0,770.0,2019,10027,125th St,1,,,,,,,,,,,0.4081356643192601,1
177,Central Harlem,2.0,3.0,40.821498,-73.9402,299000.0,1100.0,1921,10030,145th St,3,,,,,,,,,,,0.33617211155197746,1
178,Central Harlem,1.0,1.0,40.8138,-73.943901,229000.0,,1926,10030,135th St,2,3,,,,,,,,,,0.23561157617767756,2
179,Central Harlem,1.0,1.0,40.823087,-73.944858,275000.0,700.0,1920,10030,145th St,A,B,C,D,,,,,,,,0.07906527151369634,4
180,Central Harlem,1.0,3.0,40.820701,-73.940299,300000.0,900.0,1950,10030,145th St,3,,,,,,,,,,,0.32147915210520833,1
181,Central Harlem,1.0,4.0,40.817901,-73.938598,399000.0,990.0,1920,10030,145th St,3,,,,,,,,,,,0.3195178544797178,1
182,Central Harlem,3.0,6.0,40.818575,-73.946095,2500000.0,3534.0,1901,10030,135th St,B,C,,,,,,,,,,0.09723682171222617,2
183,Central Harlem,5.0,4.0,40.822475,-73.944182,2250000.0,2700.0,1899,10030,145th St,A,B,C,D,,,,,,,,0.1533249181164393,4
184,Central Harlem,1.0,4.0,40.821712,-73.940777,350000.0,,1940,10030,145th St,3,,,,,,,,,,,0.3901477978307023,1
185,Central Harlem,1.0,4.0,40.820701,-73.940299,325000.0,900.0,1950,10030,145th St,3,,,,,,,,,,,0.32147915210520833,1
186,Central Harlem,4.0,5.0,40.817767,-73.942995,2550000.0,4400.0,1910,10030,135th St,B,C,,,,,,,,,,0.36090081876602537,2
