bath,bed,latitude,logitude,price,size,year built,distance to subway,crime
3,3,40.770161,-73.968209,4500000,224000,1940,0.416259141,1606
3,2,40.76668,-73.967677,4850000,2067,1925,0.222431359,1606
2,2,40.764441,-73.962655,1750000,1100,1978,0.320087125,1606
2,0,40.769586,-73.968532,1850000,1500,1920,0.40302344,1606
5,5,40.7644,-73.9682,8750000,4245,1913,0.143309014,1606
4,3,40.765868,-73.968082,5995000,183919,1923,0.171493412,1606
3,2,40.768214,-73.968366,2995000,1700,1941,0.340656943,1606
4,4,40.766507,-73.968999,6950000,106163,1908,0.276346722,1606
1,1,40.766163,-73.959671,695000,324854,1931,0.401184061,1606
2,2,40.767029,-73.970571,5500000,130923,1927,0.264186413,1606
7,2,40.767412,-73.968242,1550000,143840,1963,0.316537055,1606
1,1,40.76288,-73.957498,699000,650,1963,0.545624424,1606
1,1,40.767412,-73.968242,900000,1100,1963,0.316537055,1606
3,2,40.766781,-73.968698,2495000,104075,1922,0.279865684,1606
2,2,40.764833,-73.967286,1600000,1250,1920,0.063058522,1606
1,1,40.764801,-73.9636,975000,600,1987,0.236905496,1606
3,2,40.76726,-73.967118,5900000,105242,1917,0.240788325,1606
